pair_id,class_u,class_v,superclass_u,superclass_v,same_superclass,d_perc,d_sem,quadrant
291,baby,wolf,people,large_carnivores,False,0.726984,0.52,Q3
292,baby,woman,people,people,True,0.38157,0.4,Q1
293,baby,worm,people,non_insect_invertebrates,False,0.783472,0.4,Q3
294,bear,beaver,large_carnivores,aquatic_mammals,False,0.223545,0.826087,Q4
295,bear,bed,large_carnivores,household_furniture,False,0.777892,0.652174,Q2
296,bear,bee,large_carnivores,insects,False,0.659416,0.44,Q1
297,bear,beetle,large_carnivores,insects,False,0.653251,0.416667,Q1
298,bear,bicycle,large_carnivores,vehicles_1,False,0.749372,0.636364,Q2
299,bear,bottle,large_carnivores,food_containers,False,0.736696,0.636364,Q2
300,bear,bowl,large_carnivores,food_containers,False,0.652621,0.636364,Q4
301,bear,boy,large_carnivores,people,False,0.586875,0.454545,Q1
302,bear,bridge,large_carnivores,large_man_made_outdoor_things,False,0.639595,0.6,Q1
303,bear,bus,large_carnivores,vehicles_1,False,0.685579,0.636364,Q4
304,bear,butterfly,large_carnivores,insects,False,0.637332,0.44,Q1
305,bear,camel,large_carnivores,large_omnivores_and_herbivores,False,0.438915,0.185185,Q1
306,bear,can,large_carnivores,food_containers,False,0.766849,0.619048,Q2
307,bear,castle,large_carnivores,large_man_made_outdoor_things,False,0.62446,0.652174,Q4
308,bear,caterpillar,large_carnivores,insects,False,0.678396,0.363636,Q1
309,bear,cattle,large_carnivores,large_omnivores_and_herbivores,False,0.38658,0.266667,Q1
310,bear,chair,large_carnivores,household_furniture,False,0.827868,0.652174,Q2
311,bear,chimpanzee,large_carnivores,large_omnivores_and_herbivores,False,0.378373,0.241379,Q1
312,bear,clock,large_carnivores,household_electrical_devices,False,0.789298,0.666667,Q2
313,bear,cloud,large_carnivores,large_natural_outdoor_scenes,False,0.667846,0.8,Q4
314,bear,cockroach,large_carnivores,insects,False,0.76198,0.44,Q3
315,bear,couch,large_carnivores,household_furniture,False,0.736264,0.652174,Q2
316,bear,crab,large_carnivores,non_insect_invertebrates,False,0.659702,0.44,Q1
317,bear,crocodile,large_carnivores,reptiles,False,0.441744,0.307692,Q1
318,bear,cup,large_carnivores,food_containers,False,0.782007,0.619048,Q2
319,bear,dinosaur,large_carnivores,reptiles,False,0.475622,0.307692,Q1
320,bear,dolphin,large_carnivores,aquatic_mammals,False,0.642609,0.241379,Q1
321,bear,elephant,large_carnivores,large_omnivores_and_herbivores,False,0.368977,0.153846,Q1
322,bear,flatfish,large_carnivores,fish,False,0.51339,0.809524,Q4
323,bear,forest,large_carnivores,large_natural_outdoor_scenes,False,0.526599,0.894737,Q4
324,bear,fox,large_carnivores,medium_mammals,False,0.447385,0.111111,Q1
325,bear,girl,large_carnivores,people,False,0.58373,0.478261,Q1
326,bear,hamster,large_carnivores,small_mammals,False,0.512707,0.153846,Q1
327,bear,house,large_carnivores,large_man_made_outdoor_things,False,0.602389,0.619048,Q4
328,bear,kangaroo,large_carnivores,large_omnivores_and_herbivores,False,0.451934,0.230769,Q1
329,bear,keyboard,large_carnivores,household_electrical_devices,False,0.82856,0.636364,Q2
330,bear,lamp,large_carnivores,household_electrical_devices,False,0.715559,0.636364,Q2
331,bear,lawn_mower,large_carnivores,vehicles_2,False,0.823343,0.652174,Q2
332,bear,leopard,large_carnivores,large_carnivores,True,0.413826,0.826087,Q4
333,bear,lion,large_carnivores,large_carnivores,True,0.378372,0.142857,Q1
334,bear,lizard,large_carnivores,reptiles,False,0.593659,0.307692,Q1
335,bear,lobster,large_carnivores,non_insect_invertebrates,False,0.626195,0.809524,Q4
336,bear,man,large_carnivores,people,False,0.575186,0.454545,Q1
337,bear,maple_tree,large_carnivores,trees,False,0.606371,0.809524,Q4
338,bear,motorcycle,large_carnivores,vehicles_1,False,0.755617,0.666667,Q2
339,bear,mountain,large_carnivores,large_natural_outdoor_scenes,False,0.630103,0.684211,Q4
340,bear,mouse,large_carnivores,small_mammals,False,0.4578,0.153846,Q1
341,bear,mushroom,large_carnivores,fruit_and_vegetables,False,0.683311,0.478261,Q1
342,bear,oak_tree,large_carnivores,trees,False,0.625464,0.809524,Q4
343,bear,orange,large_carnivores,fruit_and_vegetables,False,0.839166,0.68,Q2
344,bear,orchid,large_carnivores,flowers,False,0.769754,0.52,Q3
345,bear,otter,large_carnivores,aquatic_mammals,False,0.258787,0.826087,Q4
346,bear,palm_tree,large_carnivores,trees,False,0.698905,0.8,Q4
347,bear,pear,large_carnivores,fruit_and_vegetables,False,0.702404,0.666667,Q4
348,bear,pickup_truck,large_carnivores,vehicles_1,False,0.639612,0.666667,Q4
349,bear,pine_tree,large_carnivores,trees,False,0.570259,0.538462,Q1
